,,,,,
Problem,Source,Answer,Percent Correct,Hints,Tags
1,USNCO N2020 Part I,A,85%,,
2,USNCO N2020 Part I,D,78%,,
3,USNCO N2020 Part I,B,60%,,
4,USNCO N2020 Part I,B,65%,,
5,USNCO N2020 Part I,A,19%,,
6,USNCO N2020 Part I,B,75%,,
7,USNCO N2020 Part I,D,62%,,
8,USNCO N2020 Part I,C,46%,,
9,USNCO N2020 Part I,C,47%,,
10,USNCO N2020 Part I,A,41%,,
11,USNCO N2020 Part I,A,48%,,
12,USNCO N2020 Part I,D,70%,,
13,USNCO N2020 Part I,B,13%,,
14,USNCO N2020 Part I,B,26%,,
15,USNCO N2020 Part I,A,47%,,
16,USNCO N2020 Part I,B,32%,,
17,USNCO N2020 Part I,C,59%,,
18,USNCO N2020 Part I,B,59%,,
19,USNCO N2020 Part I,C,87%,,
20,USNCO N2020 Part I,A,91%,,
21,USNCO N2020 Part I,D,61%,,
22,USNCO N2020 Part I,B,51%,,
23,USNCO N2020 Part I,B,65%,,
24,USNCO N2020 Part I,D,28%,,
25,USNCO N2020 Part I,A,93%,,
26,USNCO N2020 Part I,A,57%,,
27,USNCO N2020 Part I,B,73%,,
28,USNCO N2020 Part I,D,28%,,
29,USNCO N2020 Part I,B,26%,,
30,USNCO N2020 Part I,B,48%,,
31,USNCO N2020 Part I,C,17%,,
32,USNCO N2020 Part I,B,31%,,
33,USNCO N2020 Part I,A,33%,,
34,USNCO N2020 Part I,D,59%,,
35,USNCO N2020 Part I,A,62%,,
36,USNCO N2020 Part I,B,8%,,
37,USNCO N2020 Part I,D,41%,,
38,USNCO N2020 Part I,D,30%,,
39,USNCO N2020 Part I,C,48%,,
40,USNCO N2020 Part I,D,25%,,
41,USNCO N2020 Part I,A,48%,,
42,USNCO N2020 Part I,A,40%,,
43,USNCO N2020 Part I,D,61%,,
44,USNCO N2020 Part I,D,36%,,
45,USNCO N2020 Part I,D,35%,,
46,USNCO N2020 Part I,B,32%,,
47,USNCO N2020 Part I,C,76%,,
48,USNCO N2020 Part I,A,51%,,
49,USNCO N2020 Part I,A,88%,,
50,USNCO N2020 Part I,D,66%,,
51,USNCO N2020 Part I,A,61%,,
52,USNCO N2020 Part I,A,39%,,
53,USNCO N2020 Part I,C,53%,,
54,USNCO N2020 Part I,C,53%,,
55,USNCO N2020 Part I,B,54%,,
56,USNCO N2020 Part I,D,74%,,
